workload1,idx1,workload2,idx2,w1_Threads,w1_Compute (SM) Throughput,w1_DRAM Throughput,w1_Memory Throughput,w1_Registers,w1_Static Shared Memory,w2_Threads,w2_Compute (SM) Throughput,w2_DRAM Throughput,w2_Memory Throughput,w2_Registers,w2_Static Shared Memory,w1throughput,w2throughput,w1exclusive_throughput,w1sm%,w1mem%,w1memcap,w2exclusive_throughput,w2sm%,w2mem%,w2memcap
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-inf,0,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,46.12889663042825,40.437612519041686,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2
bert-base-cased_batch2-inf,0,albert-base-v2_batch8-train,1,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,35.36607521346817,18.52814671267193,84.1300191204589,92.5,40.0,1.2,29.67588370763072,97.38028169014083,46.74647887323944,6.6
bert-base-cased_batch2-inf,0,gpt2-xl_batch100-inf,2,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,70.23309311987981,12.649621301962272,84.1300191204589,92.5,40.0,1.2,41.38216428719222,50.97826086956522,26.782608695652176,7.1
bert-base-cased_batch2-inf,0,gpt2-xl_batch214-inf,3,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,62.14560182781182,10.13177621715458,84.1300191204589,92.5,40.0,1.2,36.05,72.05833333333334,35.75,11.7
bert-base-cased_batch2-inf,0,vit-base-patch16-224_batch2-inf,4,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,35961.4603913098,67.45085472767737,10.815099777889127,40.24518066467102,3779001.50924272,2914.346235876293,64.01403047243232,60.78178694158076,84.1300191204589,92.5,40.0,1.2,63.42342342342342,29.454545454545453,4.181818181818182,1.6
bert-base-cased_batch2-inf,0,albert-base-v2_batch16-train,6,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,4277649.00888219,50.385998213386,52.11208358723994,82.58865975224239,92390692.05828495,25482.817460549733,34.6710995013061,18.01222257960759,84.1300191204589,92.5,40.0,1.2,31.21636167922497,97.3793103448276,45.672413793103445,12.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch16-inf,8,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,835718.6565414541,77.39705851566664,19.5069773693752,80.25152845506604,33046364.645043664,21136.22413125796,34.45631010679096,61.33205558217536,84.1300191204589,92.5,40.0,1.2,99.82511698255897,97.0,38.0,1.6
bert-base-cased_batch2-inf,0,bert-base-cased_batch8-train,10,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,35.25079978270055,18.224178099922337,84.1300191204589,92.5,40.0,1.2,29.24021138236145,96.7,45.2,4.9
bert-base-cased_batch2-inf,0,vit-base-patch16-224_batch16-inf,11,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,270226.21847462544,71.58411662529359,16.757964890563972,71.13546341295469,13244786.852812832,6611.217845498419,69.37514849132812,72.22767419038273,84.1300191204589,92.5,40.0,1.2,81.32013201320132,29.0,6.026315789473684,5.1
bert-base-cased_batch2-inf,0,bert-base-cased_batch2-train,13,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,36.26878648615079,14.159803496604535,84.1300191204589,92.5,40.0,1.2,23.23807288304677,97.27272727272728,47.76623376623377,3.1
bert-base-cased_batch2-inf,0,vit-base-patch16-224_batch8-inf,14,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,66.46181859565266,69.15287725364287,84.1300191204589,92.5,40.0,1.2,79.59099074202018,27.05555555555556,6.055555555555555,3.1
bert-base-cased_batch2-inf,0,albert-base-v2_batch2-train,16,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,35.945097556471964,16.219809439397295,84.1300191204589,92.5,40.0,1.2,25.6782694402656,97.0,43.0,2.3
bert-base-cased_batch2-inf,0,gpt2-xl_batch20-inf,18,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,80.28448772986481,22.97970126388357,84.1300191204589,92.5,40.0,1.2,43.57,35.166666666666664,20.0,6.8
bert-base-cased_batch2-inf,0,bert-base-cased_batch8-inf,21,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,37.67255837956392,56.63117134559536,84.1300191204589,92.5,40.0,1.2,98.34844157456848,96.0,38.0,1.4
bert-base-cased_batch2-inf,0,bert-base-cased_batch16-train,22,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,692527.7301330821,62.5482786063805,33.25333145673535,80.83888015236029,27323770.3166314,16724.462236768497,34.79089717621827,19.67510193514983,84.1300191204589,92.5,40.0,1.2,32.58655804480652,97.01724137931036,42.82758620689656,7.4
albert-base-v2_batch8-train,1,albert-base-v2_batch8-train,1,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,14.474174690196293,14.208534419430729,29.67588370763072,97.38028169014083,46.74647887323944,6.6,29.67588370763072,97.38028169014083,46.74647887323944,6.6
albert-base-v2_batch8-train,1,gpt2-xl_batch100-inf,2,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,28.59980940183438,9.725734292939118,29.67588370763072,97.38028169014083,46.74647887323944,6.6,41.38216428719222,50.97826086956522,26.782608695652176,7.1
albert-base-v2_batch8-train,1,gpt2-xl_batch214-inf,3,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,26.53757690998314,8.146070979939347,29.67588370763072,97.38028169014083,46.74647887323944,6.6,36.05,72.05833333333334,35.75,11.7
albert-base-v2_batch8-train,1,vit-base-patch16-224_batch2-inf,4,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,35961.4603913098,67.45085472767737,10.815099777889127,40.24518066467102,3779001.50924272,2914.346235876293,25.010780508840018,50.89768171518215,29.67588370763072,97.38028169014083,46.74647887323944,6.6,63.42342342342342,29.454545454545453,4.181818181818182,1.6
albert-base-v2_batch8-train,1,vit_h_14_batch16-train,5,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,1691379.0692694078,15.650645216259049,84.56479567654743,84.99004188310414,34529068.77101502,180.8677358253554,15.89944227087322,5.2973311015873605,29.67588370763072,97.38028169014083,46.74647887323944,6.6,10.390129377091762,96.87847222222224,30.67013888888889,21.2
albert-base-v2_batch8-train,1,albert-base-v2_batch16-train,6,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,4277649.00888219,50.385998213386,52.11208358723994,82.58865975224239,92390692.05828495,25482.817460549733,14.047345437830383,15.022904238469636,29.67588370763072,97.38028169014083,46.74647887323944,6.6,31.21636167922497,97.3793103448276,45.672413793103445,12.4
albert-base-v2_batch8-train,1,vit_h_14_batch2-train,7,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,183316.888392316,44.95736442315827,46.30171509953436,72.30406066464882,9279376.251384592,6320.710134302391,15.831407938497884,3.300985331711797,29.67588370763072,97.38028169014083,46.74647887323944,6.6,6.908856242645105,97.51923076923076,47.9423,14.3
albert-base-v2_batch8-train,1,bert-base-cased_batch16-inf,8,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,835718.6565414541,77.39705851566664,19.5069773693752,80.25152845506604,33046364.645043664,21136.22413125796,14.890646812470916,47.658879934713866,29.67588370763072,97.38028169014083,46.74647887323944,6.6,99.82511698255897,97.0,38.0,1.6
albert-base-v2_batch8-train,1,bert-base-cased_batch8-train,10,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,14.138853161347631,15.101355517401656,29.67588370763072,97.38028169014083,46.74647887323944,6.6,29.24021138236145,96.7,45.2,4.9
albert-base-v2_batch8-train,1,vit-base-patch16-224_batch16-inf,11,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,270226.21847462544,71.58411662529359,16.757964890563972,71.13546341295469,13244786.852812832,6611.217845498419,23.742380395295857,64.01841625673138,29.67588370763072,97.38028169014083,46.74647887323944,6.6,81.32013201320132,29.0,6.026315789473684,5.1
albert-base-v2_batch8-train,1,whisper-large-v2_batch8-inf,12,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,14.458010168107768,1.8174153356129088,29.67588370763072,97.38028169014083,46.74647887323944,6.6,10.73243670597552,45.11811023622048,19.79265091863517,11.4
albert-base-v2_batch8-train,1,bert-base-cased_batch2-train,13,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,14.476551397441972,10.919410614945122,29.67588370763072,97.38028169014083,46.74647887323944,6.6,23.23807288304677,97.27272727272728,47.76623376623377,3.1
albert-base-v2_batch8-train,1,vit-base-patch16-224_batch8-inf,14,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,24.17611505713151,62.36151525668063,29.67588370763072,97.38028169014083,46.74647887323944,6.6,79.59099074202018,27.05555555555556,6.055555555555555,3.1
albert-base-v2_batch8-train,1,albert-base-v2_batch2-train,16,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,15.520699746802144,11.675173446621228,29.67588370763072,97.38028169014083,46.74647887323944,6.6,25.6782694402656,97.0,43.0,2.3
albert-base-v2_batch8-train,1,whisper-large-v2_batch2-inf,17,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,15.842311834268186,1.6374163707875915,29.67588370763072,97.38028169014083,46.74647887323944,6.6,1.7085028704506966,37.63403263403264,16.834498834498834,8.3
albert-base-v2_batch8-train,1,gpt2-xl_batch20-inf,18,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,30.221942389422324,12.5,29.67588370763072,97.38028169014083,46.74647887323944,6.6,43.57,35.166666666666664,20.0,6.8
albert-base-v2_batch8-train,1,vit_h_14_batch8-train,20,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,15.90589704887316,4.757277328962826,29.67588370763072,97.38028169014083,46.74647887323944,6.6,9.500815660685156,96.99371069182388,32.52201,17.4
albert-base-v2_batch8-train,1,bert-base-cased_batch8-inf,21,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,15.739257608468556,45.70087058593368,29.67588370763072,97.38028169014083,46.74647887323944,6.6,98.34844157456848,96.0,38.0,1.4
albert-base-v2_batch8-train,1,bert-base-cased_batch16-train,22,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,692527.7301330821,62.5482786063805,33.25333145673535,80.83888015236029,27323770.3166314,16724.462236768497,13.955612384692667,16.023092103325382,29.67588370763072,97.38028169014083,46.74647887323944,6.6,32.58655804480652,97.01724137931036,42.82758620689656,7.4
albert-base-v2_batch8-train,1,whisper-large-v2_batch16-inf,23,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,11591573.55669206,29.18332008231777,58.632473452760095,67.5808277077139,198198381.70553783,1529.2248322788505,14.127018873630712,1.9241967325850071,29.67588370763072,97.38028169014083,46.74647887323944,6.6,24.59818976428725,50.03021148036254,22.38368580060423,15.4
gpt2-xl_batch100-inf,2,gpt2-xl_batch100-inf,2,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,16.45097609124808,28.3661119515885,41.38216428719222,50.97826086956522,26.782608695652176,7.1,41.38216428719222,50.97826086956522,26.782608695652176,7.1
gpt2-xl_batch100-inf,2,gpt2-xl_batch214-inf,3,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,22.59036144578313,13.78044657662154,41.38216428719222,50.97826086956522,26.782608695652176,7.1,36.05,72.05833333333334,35.75,11.7
gpt2-xl_batch100-inf,2,vit-base-patch16-224_batch2-inf,4,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,35961.4603913098,67.45085472767737,10.815099777889127,40.24518066467102,3779001.50924272,2914.346235876293,25.17200872629636,61.41409407767559,41.38216428719222,50.97826086956522,26.782608695652176,7.1,63.42342342342342,29.454545454545453,4.181818181818182,1.6
gpt2-xl_batch100-inf,2,vit_h_14_batch16-train,5,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,1691379.0692694078,15.650645216259049,84.56479567654743,84.99004188310414,34529068.77101502,180.8677358253554,5.524149741285654,10.409264750932444,41.38216428719222,50.97826086956522,26.782608695652176,7.1,10.390129377091762,96.87847222222224,30.67013888888889,21.2
gpt2-xl_batch100-inf,2,albert-base-v2_batch16-train,6,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,4277649.00888219,50.385998213386,52.11208358723994,82.58865975224239,92390692.05828495,25482.817460549733,5.988860719062544,31.094134428520828,41.38216428719222,50.97826086956522,26.782608695652176,7.1,31.21636167922497,97.3793103448276,45.672413793103445,12.4
gpt2-xl_batch100-inf,2,bert-base-cased_batch16-inf,8,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,835718.6565414541,77.39705851566664,19.5069773693752,80.25152845506604,33046364.645043664,21136.22413125796,5.606323933396872,100.53269939187416,41.38216428719222,50.97826086956522,26.782608695652176,7.1,99.82511698255897,97.0,38.0,1.6
gpt2-xl_batch100-inf,2,bert-base-cased_batch8-train,10,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,282529.3614028022,53.30323833870383,33.27643892259864,72.11510146261294,13680331.758935943,5646.101384772973,10.81626766657052,28.841186621382487,41.38216428719222,50.97826086956522,26.782608695652176,7.1,29.24021138236145,96.7,45.2,4.9
gpt2-xl_batch100-inf,2,vit-base-patch16-224_batch16-inf,11,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,270226.21847462544,71.58411662529359,16.757964890563972,71.13546341295469,13244786.852812832,6611.217845498419,21.554821094984916,82.08424761257224,41.38216428719222,50.97826086956522,26.782608695652176,7.1,81.32013201320132,29.0,6.026315789473684,5.1
gpt2-xl_batch100-inf,2,whisper-large-v2_batch8-inf,12,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,5661591.512012222,33.63998724849095,55.31684738960696,64.7932709326375,117732415.08983348,1056.3817410779272,4.849190185239065,3.856073954901811,41.38216428719222,50.97826086956522,26.782608695652176,7.1,10.73243670597552,45.11811023622048,19.79265091863517,11.4
gpt2-xl_batch100-inf,2,bert-base-cased_batch2-train,13,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,20.80011093392498,19.054106656286493,41.38216428719222,50.97826086956522,26.782608695652176,7.1,23.23807288304677,97.27272727272728,47.76623376623377,3.1
gpt2-xl_batch100-inf,2,vit-base-patch16-224_batch8-inf,14,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,109686.3558871527,80.57405153349794,12.838127168904558,56.01186382090581,8835599.308909625,6234.131132549218,23.185717597959652,75.71154834789924,41.38216428719222,50.97826086956522,26.782608695652176,7.1,79.59099074202018,27.05555555555556,6.055555555555555,3.1
gpt2-xl_batch100-inf,2,albert-base-v2_batch2-train,16,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,18.61735137147821,21.748837697985344,41.38216428719222,50.97826086956522,26.782608695652176,7.1,25.6782694402656,97.0,43.0,2.3
gpt2-xl_batch100-inf,2,whisper-large-v2_batch2-inf,17,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,9.989344698987749,3.0638699033702568,41.38216428719222,50.97826086956522,26.782608695652176,7.1,1.7085028704506966,37.63403263403264,16.834498834498834,8.3
gpt2-xl_batch100-inf,2,gpt2-xl_batch20-inf,18,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,20.1999798000202,25.0208507089241,41.38216428719222,50.97826086956522,26.782608695652176,7.1,43.57,35.166666666666664,20.0,6.8
gpt2-xl_batch100-inf,2,vit_h_14_batch8-train,20,59703.85028143122,34.166956171194144,43.16222413955438,44.12589122395779,3169894.376506317,2911.0801668674217,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,9.084302325581394,9.004916361286936,41.38216428719222,50.97826086956522,26.782608695652176,7.1,9.500815660685156,96.99371069182388,32.52201,17.4
